# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Feb 20 2014 - 15:25:38
#
# Loaded time stamp           : 20140220-15h46m06s394486us
#
# random seed             : 1392911166
0 : 7 c 50
0 : 9 c 50
0 : 11 c 50
0 : 12 c 50
0 : 15 c 50
0 : 16 c 50
0 : 20 c 50
0 : 20 c 50
0 : 21 c 50
0 : 22 c 50
0 : 22 c 50
0 : 25 c 50
0 : 25 c 50
0 : 26 c 50
0 : 30 c 50
0 : 35 c 50
0 : 38 c 50
0 : 40 c 50
0 : 42 c 50
0 : 43 c 50
0 : 50 c 50
0 : 51 c 50
0 : 56 c 50
0 : 58 c 50
0 : 60 c 50
0 : 63 c 50
0 : 63 c 50
0 : 64 c 50
0 : 66 c 50
0 : 68 c 50
0 : 68 c 50
0 : 70 c 50
0 : 70 c 50
0 : 71 c 50
0 : 72 c 50
0 : 74 c 50
0 : 78 c 50
0 : 79 c 50
0 : 79 c 50
0 : 81 c 50
0 : 81 c 50
0 : 82 c 50
0 : 82 c 50
0 : 84 c 50
0 : 86 c 50
0 : 91 c 50
0 : 94 c 50
0 : 96 c 50
0 : 99 c 50
1 : 9 c 20.7022
1 : 11 c 9.74166
1 : 12 c 32.0024
1 : 15 c 1.58162
1 : 18 c 33.28
1 : 20 c 29.1574
1 : 20 c 29.1574
1 : 21 c 40.8868
1 : 21 c 40.8868
1 : 22 c 21.7886
1 : 22 c 21.7886
1 : 25 c 46.2534
1 : 25 c 46.2534
1 : 26 c 4.8755
1 : 30 c 47.2441
1 : 31 c 36.775
1 : 33 c 6.34114
1 : 35 c 12.6125
1 : 38 c 38.8808
1 : 42 c 37.9099
1 : 43 c 4.87028
1 : 44 c 8.16166
1 : 50 c 40.7894
1 : 51 c 27.8074
1 : 54 c 17.5195
1 : 56 c 17.6113
1 : 57 c 44.573
1 : 58 c 21.5706
