# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar  4 2014 - 10:39:23
#
# Loaded time stamp           : 20140305-10h53m41s586182us
#
# random seed             : 1394016821
0 : 3 c 50
0 : 5 c 50
0 : 8 c 50
0 : 9 c 50
0 : 11 c 50
0 : 12 c 50
0 : 13 c 50
0 : 15 c 50
0 : 19 c 50
0 : 20 c 50
0 : 21 c 50
0 : 25 c 50
0 : 25 c 50
0 : 26 c 50
0 : 28 c 50
0 : 29 c 50
0 : 29 c 50
0 : 30 c 50
0 : 30 c 50
0 : 32 c 50
0 : 34 c 50
0 : 35 c 50
0 : 36 c 50
0 : 37 c 50
0 : 40 c 50
0 : 41 c 50
0 : 43 c 50
0 : 45 c 50
0 : 46 c 50
0 : 47 c 50
0 : 48 c 50
0 : 48 c 50
0 : 49 c 50
0 : 51 c 50
0 : 51 c 50
0 : 54 c 50
0 : 55 c 50
0 : 56 c 50
0 : 57 c 50
0 : 59 c 50
0 : 59 c 50
0 : 74 c 50
0 : 76 c 50
0 : 78 c 50
0 : 81 c 50
0 : 83 c 50
0 : 87 c 50
0 : 87 c 50
0 : 88 c 50
0 : 96 c 50
1 : 3 c 0
1 : 5 c 0
1 : 5 c 0
1 : 8 c 0
1 : 9 c 0
1 : 11 c 0
1 : 12 c 0
1 : 13 c 0
1 : 15 c 0
1 : 15 c 0
1 : 19 c 0
1 : 20 c 0
1 : 21 c 0
1 : 24 c 0
1 : 25 c 0
1 : 26 c 0
1 : 28 c 0
1 : 29 c 0
1 : 29 c 0
1 : 30 c 0
1 : 30 c 0
1 : 32 c 0
1 : 34 c 0
1 : 34 c 0
1 : 35 c 0
1 : 36 c 0
1 : 37 c 0
1 : 40 c 0
1 : 41 c 0
1 : 43 c 0
1 : 45 c 0
1 : 46 c 0
1 : 47 c 0
1 : 48 c 0
1 : 48 c 0
1 : 49 c 0
1 : 51 c 0
1 : 51 c 0
1 : 54 c 0
1 : 56 c 0
1 : 57 c 0
1 : 59 c 0
1 : 59 c 0
1 : 66 c 0
1 : 74 c 0
1 : 76 c 0
1 : 81 c 0
1 : 83 c 0
1 : 87 c 0
1 : 87 c 0
1 : 88 c 0
1 : 96 c 0
1 : 98 c 0
2 : 0 c 0
2 : 1 c 0
2 : 52 c 0
2 : 73 c 0
2 : 78 c 0
2 : 99 c 0
3 : 16 c 0
3 : 50 c 0
3 : 65 c 0
3 : 73 c 0
3 : 98 c 0
4 : 50 c 0
4 : 79 c 0
5 : 9 c 0
5 : 50 c 0
5 : 59 c 0
5 : 64 c 0
5 : 79 c 0
6 : 11 c 0
6 : 50 c 0
6 : 56 c 0
6 : 79 c 0
7 : 18 c 0
7 : 36 c 0
7 : 50 c 0
7 : 56 c 0
7 : 64 c 0
7 : 74 c 0
7 : 79 c 0
8 : 25 c 0
8 : 50 c 0
8 : 79 c 0
9 : 4 c 0
9 : 36 c 0
9 : 50 c 0
9 : 79 c 0
9 : 85 c 0
10 : 34 c 0
10 : 50 c 0
10 : 72 c 0
10 : 73 c 0
11 : 50 c 0
11 : 79 c 0
11 : 85 c 0
12 : 3 c 0
12 : 50 c 0
12 : 76 c 0
12 : 79 c 0
12 : 97 c 0
13 : 46 c 0
13 : 50 c 0
13 : 79 c 0
13 : 92 c 0
14 : 50 c 0
14 : 79 c 0
14 : 97 c 0
15 : 50 c 0
15 : 70 c 0
15 : 79 c 0
16 : 50 c 0
16 : 70 c 0
16 : 79 c 0
17 : 50 c 0
17 : 70 c 0
17 : 79 c 0
17 : 97 c 0
18 : 42 c 0
18 : 50 c 0
18 : 72 c 0
18 : 79 c 0
19 : 0 c 0
19 : 9 c 0
19 : 50 c 0
19 : 79 c 0
20 : 32 c 0
20 : 50 c 0
20 : 62 c 0
20 : 79 c 0
21 : 50 c 0
21 : 74 c 0
21 : 79 c 0
22 : 50 c 0
22 : 79 c 0
23 : 24 c 0
23 : 50 c 0
23 : 72 c 0
23 : 79 c 0
24 : 50 c 0
24 : 98 c 0
25 : 5 c 0
25 : 50 c 0
25 : 79 c 0
26 : 5 c 0
26 : 8 c 0
26 : 9 c 0
26 : 11 c 0
26 : 12 c 0
26 : 19 c 0
26 : 29 c 0
26 : 33 c 0
26 : 34 c 0
26 : 35 c 0
26 : 36 c 0
26 : 40 c 0
26 : 41 c 0
26 : 45 c 0
26 : 46 c 0
26 : 48 c 0
26 : 48 c 0
26 : 50 c 0
26 : 51 c 0
26 : 51 c 0
26 : 54 c 0
26 : 57 c 0
26 : 59 c 0
26 : 59 c 0
26 : 70 c 0
26 : 71 c 0
26 : 74 c 0
26 : 79 c 0
26 : 81 c 0
26 : 85 c 0
26 : 88 c 0
26 : 96 c 0
27 : 15 c 0
27 : 36 c 0
27 : 50 c 0
27 : 79 c 0
28 : 13 c 0
28 : 15 c 0
28 : 50 c 0
28 : 79 c 0
29 : 50 c 0
29 : 79 c 0
29 : 98 c 0
30 : 15 c 0
30 : 43 c 0
30 : 50 c 0
30 : 79 c 0
31 : 2 c 0
31 : 11 c 0
31 : 50 c 0
31 : 62 c 0
31 : 79 c 0
32 : 18 c 0
32 : 44 c 0
32 : 50 c 0
32 : 79 c 0
33 : 25 c 0
33 : 28 c 0
33 : 34 c 0
33 : 50 c 0
33 : 73 c 0
33 : 79 c 0
34 : 1 c 0
34 : 50 c 0
34 : 71 c 0
34 : 73 c 0
34 : 79 c 0
34 : 82 c 0
34 : 98 c 0
35 : 50 c 0
35 : 72 c 0
35 : 76 c 0
35 : 79 c 0
36 : 50 c 0
36 : 57 c 0
36 : 74 c 0
36 : 78 c 0
36 : 79 c 0
37 : 49 c 0
37 : 50 c 0
37 : 79 c 0
37 : 98 c 0
38 : 4 c 0
38 : 44 c 0
38 : 50 c 0
38 : 64 c 0
38 : 79 c 0
39 : 50 c 0
39 : 85 c 0
40 : 20 c 0
40 : 40 c 0
40 : 50 c 0
40 : 69 c 0
40 : 79 c 0
40 : 85 c 0
41 : 46 c 0
41 : 50 c 0
41 : 74 c 0
41 : 79 c 0
41 : 83 c 0
41 : 97 c 0
42 : 4 c 0
42 : 50 c 0
42 : 73 c 0
42 : 79 c 0
42 : 97 c 0
43 : 29 c 0
43 : 50 c 0
43 : 72 c 0
43 : 79 c 0
43 : 86 c 0
44 : 0 c 0
44 : 42 c 0
44 : 50 c 0
44 : 79 c 0
45 : 50 c 0
45 : 57 c 0
45 : 73 c 0
45 : 79 c 0
46 : 9 c 0
46 : 50 c 0
46 : 57 c 0
46 : 79 c 0
46 : 97 c 0
47 : 4 c 0
47 : 50 c 0
47 : 79 c 0
48 : 24 c 0
48 : 50 c 0
48 : 72 c 0
48 : 79 c 0
49 : 28 c 0
49 : 50 c 0
49 : 78 c 0
49 : 79 c 0
50 : 5 c 0
50 : 16 c 0
50 : 29 c 0
50 : 34 c 0
50 : 50 c 0
50 : 79 c 0
50 : 85 c 0
51 : 8 c 0
51 : 9 c 0
51 : 11 c 0
51 : 12 c 0
51 : 34 c 0
51 : 35 c 0
51 : 37 c 0
51 : 40 c 0
51 : 41 c 0
51 : 45 c 0
51 : 48 c 0
51 : 48 c 0
51 : 50 c 0
51 : 51 c 0
51 : 51 c 0
