# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar 12 2014 - 10:47:09
#
# Loaded time stamp           : 20140312-11h45m39s460252us
#
# random seed             : 1394624739
0 : 0 c 50
0 : 1 c 50
0 : 2 c 50
0 : 2 c 50
0 : 3 c 50
0 : 3 c 50
0 : 3 c 50
0 : 4 c 50
0 : 6 c 50
0 : 7 c 50
0 : 9 c 50
0 : 12 c 50
0 : 23 c 50
0 : 24 c 50
0 : 24 c 50
0 : 24 c 50
0 : 24 c 50
0 : 25 c 50
0 : 27 c 50
0 : 28 c 50
0 : 28 c 50
0 : 28 c 50
0 : 29 c 50
0 : 29 c 50
0 : 32 c 50
0 : 34 c 50
0 : 38 c 50
0 : 39 c 50
0 : 39 c 50
0 : 44 c 50
0 : 45 c 50
0 : 46 c 50
0 : 46 c 50
0 : 46 c 50
0 : 52 c 50
0 : 61 c 50
0 : 64 c 50
0 : 65 c 50
0 : 66 c 50
0 : 67 c 50
0 : 75 c 50
0 : 75 c 50
0 : 78 c 50
0 : 81 c 50
0 : 82 c 50
0 : 87 c 50
0 : 88 c 50
0 : 88 c 50
0 : 94 c 50
0 : 94 c 50
0 : 96 c 50
0 : 96 c 50
0 : 96 c 50
0 : 98 c 50
0 : Agent Points Created 0
1 : 0 c 0
1 : 1 c 0
1 : 2 c 0
1 : 2 c 0
1 : 3 c 0
1 : 3 c 0
1 : 4 c 0
1 : 6 c 0
1 : 7 c 0
1 : 9 c 0
1 : 12 c 0
1 : 13 c 0
1 : 17 die
1 : 17 lf 2
1 : 17 a 1.45756
1 : 23 c 0
1 : 24 c 0
1 : 24 c 0
1 : 24 c 0
1 : 24 c 0
1 : 25 c 0
1 : 27 c 0
1 : 28 c 0
1 : 28 c 0
1 : 28 c 0
1 : 29 c 0
1 : 29 c 0
1 : 34 c 0
1 : 38 c 0
1 : 39 c 0
1 : 39 c 0
1 : 40 c 0
1 : 44 c 0
1 : 45 c 0
1 : 46 c 0
1 : 52 c 0
1 : 53 die
1 : 53 lf 2
1 : 53 a 1.45756
1 : 61 c 0
1 : 64 c 0
1 : 66 c 0
1 : 73 c 0
1 : 75 c 0
1 : 75 c 0
1 : 78 c 0
1 : 81 c 0
1 : 82 c 0
1 : 87 c 0
1 : 88 c 0
1 : 88 c 0
1 : 89 c 0
1 : 94 c 0
1 : 94 c 0
1 : 96 c 0
1 : 96 c 0
1 : 96 c 0
1 : 96 c 0
1 : 98 c 0
1 : Agent Points Created 0
2 : 2 c 0
2 : 3 c 0
2 : 32 c 0
2 : 69 c 0
2 : Agent Points Created 0
3 : 3 c 0
3 : 16 c 0
3 : 57 c 0
3 : Agent Points Created 0
4 : 6 c 0
4 : 42 c 0
4 : 46 c 0
4 : 58 c 0
4 : 96 c 0
4 : Agent Points Created 0
5 : 39 c 0
5 : 56 c 0
5 : 74 c 0
5 : Agent Points Created 0
6 : 27 c 0
6 : 86 c 0
6 : Agent Points Created 0
7 : 56 c 0
7 : 86 c 0
7 : Agent Points Created 0
8 : 14 c 0
8 : 22 c 0
8 : 59 c 0
8 : 71 c 0
8 : 83 c 0
8 : Agent Points Created 0
9 : 7 c 0
9 : 41 c 0
9 : 47 c 0
9 : 72 c 0
9 : 86 c 0
9 : 88 c 0
9 : Agent Points Created 0
10 : 13 c 0
10 : 37 c 0
10 : 44 c 0
10 : 67 c 0
10 : 92 c 0
10 : Agent Points Created 0
11 : 10 c 0
11 : 31 c 0
11 : 64 c 0
11 : Agent Points Created 0
12 : 2 c 0
12 : 20 c 0
12 : 47 c 0
12 : 71 c 0
12 : Agent Points Created 0
13 : 44 c 0
13 : Agent Points Created 0
14 : Agent Points Created 0
15 : 86 c 0
15 : Agent Points Created 0
16 : 28 c 0
16 : Agent Points Created 0
17 : Agent Points Created 0
18 : 5 c 0
18 : 44 c 0
18 : 46 c 0
18 : 56 c 0
18 : Agent Points Created 0
19 : 10 c 0
19 : 44 c 0
19 : Agent Points Created 0
20 : 9 c 0
20 : 55 c 0
20 : 62 c 0
20 : Agent Points Created 0
21 : 68 c 0
21 : Agent Points Created 0
22 : 47 c 0
22 : Agent Points Created 0
23 : 26 die
23 : 26 lf 24
23 : 26 a 0.728778
23 : 55 c 0
23 : Agent Points Created 0
24 : 12 c 0
24 : 46 c 0
24 : 66 c 0
24 : 79 c 0
24 : Agent Points Created 0
25 : 9 c 0
25 : 27 c 0
25 : 37 c 0
25 : 71 c 0
25 : Agent Points Created 0
26 : 0 c 0
26 : 1 c 0
26 : 4 c 0
26 : 9 c 0
26 : 12 c 0
26 : 25 c 0
26 : 29 c 0
26 : 29 c 0
26 : 30 c 0
26 : 34 c 0
26 : 38 c 0
26 : 39 c 0
26 : 39 c 0
26 : 45 c 0
26 : 48 c 0
26 : 54 c 0
26 : 64 c 0
26 : 87 c 0
26 : 88 c 0
26 : 89 c 0
26 : 98 c 0
26 : Agent Points Created 0
27 : 28 c 0
27 : 32 c 0
27 : 46 c 0
27 : 52 c 0
27 : 75 c 0
27 : Agent Points Created 0
28 : 16 c 0
28 : 28 c 0
28 : 46 c 0
28 : 46 c 0
28 : 51 c 0
28 : 57 c 0
28 : Agent Points Created 0
29 : 2 c 0
29 : 40 c 0
29 : 42 c 0
29 : Agent Points Created 0
30 : 47 c 0
30 : Agent Points Created 0
31 : 10 c 0
31 : 73 c 0
31 : 74 c 0
31 : Agent Points Created 0
32 : 10 c 0
32 : 44 c 0
32 : 75 c 0
32 : Agent Points Created 0
33 : Agent Points Created 0
34 : 7 c 0
34 : 71 c 0
34 : 88 c 0
34 : Agent Points Created 0
35 : 13 c 0
35 : 62 c 0
35 : 78 c 0
35 : Agent Points Created 0
36 : 31 c 0
36 : 69 c 0
36 : 81 c 0
36 : Agent Points Created 0
37 : 72 c 0
37 : Agent Points Created 0
38 : 16 c 0
38 : Agent Points Created 0
39 : 10 c 0
39 : 28 c 0
39 : 46 c 0
39 : 66 c 0
39 : 83 c 0
39 : Agent Points Created 0
40 : 3 c 0
40 : 13 c 0
40 : 44 c 0
40 : 47 c 0
40 : 58 c 0
40 : 94 c 0
40 : Agent Points Created 0
41 : 86 c 0
41 : Agent Points Created 0
42 : 59 c 0
42 : 63 c 0
42 : Agent Points Created 0
43 : 56 c 0
43 : Agent Points Created 0
44 : 10 c 0
44 : 54 c 0
44 : 86 c 0
44 : Agent Points Created 0
45 : 9 c 0
45 : 13 c 0
45 : 55 c 0
45 : 62 c 0
45 : 75 c 0
45 : 99 c 0
45 : Agent Points Created 0
46 : 63 c 0
46 : Agent Points Created 0
47 : 66 c 0
47 : 71 c 0
47 : Agent Points Created 0
48 : 55 c 0
48 : 60 c 0
48 : Agent Points Created 0
49 : 2 c 0
49 : 19 c 0
