# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar 18 2014 - 09:10:25
#
# Loaded time stamp           : 20140325-22h41m30s981049us
#
# random seed             : 1395787290
0 : 0 c 50
0 : 0 c 50
0 : 3 c 50
0 : 4 c 50
0 : 8 c 50
0 : 10 c 50
0 : 16 c 50
0 : 18 c 50
0 : 19 c 50
0 : 19 c 50
0 : 20 c 50
0 : 20 c 50
0 : 20 c 50
0 : 22 c 50
0 : 24 c 50
0 : 25 c 50
0 : 27 c 50
0 : 27 c 50
0 : 36 c 50
0 : 38 c 50
0 : 38 c 50
0 : 40 c 50
0 : 45 c 50
0 : 46 c 50
0 : 46 c 50
0 : 49 c 50
0 : 51 c 50
0 : 53 c 50
0 : 53 c 50
0 : 57 c 50
0 : 58 c 50
0 : 61 c 50
0 : 62 c 50
0 : 63 c 50
0 : 66 c 50
0 : 66 c 50
0 : 68 c 50
0 : 69 c 50
0 : 71 c 50
0 : 72 c 50
0 : 74 c 50
0 : 76 c 50
0 : 83 c 50
0 : 83 c 50
0 : 84 c 50
0 : 85 c 50
0 : 87 c 50
0 : 89 c 50
0 : 96 c 50
0 : Agent Points Created 0
1 : 0 c 0
1 : 0 c 0
1 : 3 c 0
1 : 4 c 0
1 : 8 c 0
1 : 10 c 0
1 : 16 c 0
1 : 18 c 0
1 : 19 c 0
1 : 20 c 0
1 : 20 c 0
1 : 22 c 0
1 : 24 c 0
1 : 25 c 0
1 : 27 c 0
1 : 27 c 0
1 : 31 c 0
1 : 35 c 0
1 : 36 c 0
1 : 38 c 0
1 : 38 c 0
1 : 39 die
1 : 39 lf 2
1 : 39 a 1.45756
1 : 40 c 0
1 : 45 c 0
1 : 46 c 0
1 : 46 c 0
1 : 49 c 0
1 : 51 c 0
1 : 53 c 0
1 : 53 c 0
1 : 57 c 0
1 : 58 c 0
1 : 61 c 0
1 : 62 c 0
1 : 63 c 0
1 : 66 c 0
1 : 66 c 0
1 : 68 c 0
1 : 69 c 0
1 : 71 c 0
1 : 72 c 0
1 : 74 c 0
1 : 76 c 0
1 : 76 die
1 : 76 lf 2
1 : 76 a 1.45756
1 : 83 c 0
1 : 83 c 0
1 : 84 c 0
1 : 85 c 0
1 : 87 c 0
1 : 89 c 0
1 : 93 die
1 : 93 lf 2
1 : 93 a 1.45756
1 : 96 c 0
1 : Agent Points Created 0
2 : 34 die
2 : 34 lf 3
2 : 34 a 0.971704
2 : 38 die
2 : 38 lf 3
2 : 38 a 1.94341
2 : 85 c 0
2 : 87 c 0
2 : Agent Points Created 0
3 : 88 c 0
3 : 94 die
3 : 94 lf 4
3 : 94 a 0.728778
3 : Agent Points Created 0
4 : 4 c 0
4 : 21 c 0
4 : 22 c 0
4 : 40 c 0
4 : 64 c 0
4 : Agent Points Created 0
5 : 65 c 0
5 : 79 c 0
5 : Agent Points Created 0
6 : 44 c 0
6 : 59 c 0
6 : 59 c 0
6 : Agent Points Created 0
7 : 15 c 0
7 : 87 c 0
7 : Agent Points Created 0
8 : 25 c 0
8 : 48 c 0
8 : 68 c 0
8 : Agent Points Created 0
9 : 19 c 0
9 : 28 c 0
9 : Agent Points Created 0
10 : 46 c 0
10 : 81 c 0
10 : Agent Points Created 0
11 : 4 die
11 : 4 lf 12
11 : 4 a 1.45756
11 : 20 c 0
11 : Agent Points Created 0
12 : Agent Points Created 0
13 : 57 c 0
13 : Agent Points Created 0
14 : Agent Points Created 0
15 : 6 c 0
15 : Agent Points Created 0
16 : 23 c 0
16 : Agent Points Created 0
17 : Agent Points Created 0
18 : 13 c 0
18 : 28 c 0
18 : 51 c 0
18 : Agent Points Created 0
19 : 23 c 0
19 : 51 c 0
19 : Agent Points Created 0
20 : Agent Points Created 0
21 : 92 c 0
21 : Agent Points Created 0
22 : 61 c 0
22 : Agent Points Created 0
23 : Agent Points Created 0
24 : 65 c 0
24 : Agent Points Created 0
25 : 11 c 0
25 : 59 c 0
25 : Agent Points Created 0
26 : 0 c 0
26 : 0 c 0
26 : 8 c 0
26 : 10 c 0
26 : 19 c 0
26 : 20 c 0
26 : 20 c 0
26 : 22 c 0
26 : 25 c 0
26 : 27 c 0
26 : 31 c 0
26 : 36 c 0
26 : 40 c 0
26 : 45 c 0
26 : 53 c 0
26 : 53 c 0
26 : 57 c 0
26 : 62 c 0
26 : 63 c 0
26 : 66 c 0
26 : 66 c 0
26 : 69 c 0
26 : 71 c 0
26 : 74 c 0
26 : 85 c 0
26 : 85 c 0
26 : 85 c 0
26 : 96 c 0
26 : Agent Points Created 0
27 : 51 c 0
27 : Agent Points Created 0
28 : 23 c 0
28 : 46 c 0
28 : 68 c 0
28 : Agent Points Created 0
29 : 22 c 0
29 : 46 c 0
29 : 83 c 0
29 : 90 c 0
29 : Agent Points Created 0
30 : 64 c 0
30 : 84 c 0
30 : 89 c 0
30 : Agent Points Created 0
31 : 16 c 0
31 : 35 c 0
31 : 49 c 0
31 : 80 c 0
31 : Agent Points Created 0
32 : 23 c 0
32 : Agent Points Created 0
33 : 48 c 0
33 : 51 c 0
33 : 68 c 0
33 : 89 c 0
33 : Agent Points Created 0
34 : 19 c 0
34 : 35 c 0
34 : 44 c 0
34 : 47 c 0
34 : Agent Points Created 0
35 : 46 c 0
35 : 50 c 0
35 : 81 c 0
35 : Agent Points Created 0
36 : 20 c 0
36 : Agent Points Created 0
37 : 51 c 0
37 : 59 c 0
37 : Agent Points Created 0
38 : 16 c 0
38 : Agent Points Created 0
39 : Agent Points Created 0
40 : 57 c 0
40 : 58 c 0
40 : Agent Points Created 0
41 : 25 c 0
41 : 44 c 0
41 : 68 c 0
41 : Agent Points Created 0
42 : 51 c 0
42 : Agent Points Created 0
43 : 15 c 0
43 : Agent Points Created 0
44 : 28 c 0
44 : Agent Points Created 0
45 : Agent Points Created 0
46 : 92 c 0
46 : Agent Points Created 0
47 : 55 c 0
47 : 61 c 0
47 : Agent Points Created 0
