# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar 18 2014 - 09:10:25
#
# Loaded time stamp           : 20140326-08h15m23s705631us
#
# random seed             : 1395821723
0 : 2 c 50
0 : 6 c 50
0 : 6 c 50
0 : 7 c 50
0 : 7 c 50
0 : 8 c 50
0 : 11 c 50
0 : 15 c 50
0 : 17 c 50
0 : 23 c 50
0 : 33 c 50
0 : 33 c 50
0 : 36 c 50
0 : 40 c 50
0 : 40 c 50
0 : 43 c 50
0 : 45 c 50
0 : 47 c 50
0 : 48 c 50
0 : 49 c 50
0 : 49 c 50
0 : 54 c 50
0 : 55 c 50
0 : 56 c 50
0 : 56 c 50
0 : 59 c 50
0 : 62 c 50
0 : 63 c 50
0 : 66 c 50
0 : 67 c 50
0 : 68 c 50
0 : 70 c 50
0 : 74 c 50
0 : 77 c 50
0 : 78 c 50
0 : 81 c 50
0 : 86 c 50
0 : 86 c 50
0 : 87 c 50
0 : 89 c 50
0 : 90 c 50
0 : 95 c 50
0 : Agent Points Created 0
1 : 2 c 0
1 : 6 c 0
1 : 6 c 0
1 : 7 c 0
1 : 7 c 0
1 : 8 c 0
1 : 11 c 0
1 : 11 c 0
1 : 17 c 0
1 : 23 c 0
1 : 31 c 0
1 : 33 c 0
1 : 33 c 0
1 : 40 c 0
1 : 40 c 0
1 : 43 c 0
1 : 45 c 0
1 : 47 c 0
1 : 48 c 0
1 : 49 c 0
1 : 49 c 0
1 : 54 c 0
1 : 55 c 0
1 : 56 c 0
1 : 57 c 0
1 : 59 c 0
1 : 62 c 0
1 : 63 c 0
1 : 66 c 0
1 : 67 c 0
1 : 68 c 0
1 : 70 c 0
1 : 74 c 0
1 : 77 c 0
1 : 78 c 0
1 : 81 c 0
1 : 85 c 0
1 : 86 c 0
1 : 86 c 0
1 : 87 c 0
1 : 89 c 0
1 : 90 c 0
1 : 95 c 0
1 : Agent Points Created 0
2 : 32 c 0
2 : 83 c 0
2 : Agent Points Created 0
3 : 19 c 0
3 : 21 c 0
3 : 33 c 0
3 : 97 c 0
3 : Agent Points Created 0
4 : 14 c 0
4 : 24 c 0
4 : 92 c 0
4 : Agent Points Created 0
5 : 26 c 0
5 : 29 c 0
5 : 67 c 0
5 : Agent Points Created 0
6 : 45 c 0
6 : 67 c 0
6 : Agent Points Created 0
7 : 71 c 0
7 : 83 c 0
7 : Agent Points Created 0
8 : Agent Points Created 0
9 : 16 c 0
9 : 74 c 0
9 : Agent Points Created 0
10 : 15 c 0
10 : 31 c 0
10 : Agent Points Created 0
11 : 14 c 0
11 : 31 c 0
11 : 43 c 0
11 : 79 c 0
11 : Agent Points Created 0
