# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Mar 15 2014 - 08:23:16
#
# Loaded time stamp           : 20140315-08h29m54s634134us
#
# random seed             : 1394872194
0 : 0 c 50
0 : 0 c 50
0 : 1 c 50
0 : 1 c 50
0 : 1 c 50
0 : 3 c 50
0 : 5 c 50
0 : 5 c 50
0 : 8 c 50
0 : 8 c 50
0 : 15 c 50
0 : 20 c 50
0 : 20 c 50
0 : 20 c 50
0 : 21 c 50
0 : 21 c 50
0 : 22 c 50
0 : 23 c 50
0 : 23 c 50
0 : 28 c 50
0 : 30 c 50
0 : 35 c 50
0 : 39 c 50
0 : 40 c 50
0 : 41 c 50
0 : 42 c 50
0 : 43 c 50
0 : 46 c 50
0 : 50 c 50
0 : 52 c 50
0 : 56 c 50
0 : 57 c 50
0 : 57 c 50
0 : 57 c 50
0 : 58 c 50
0 : 61 c 50
0 : 63 c 50
0 : 66 c 50
0 : 67 c 50
0 : 74 c 50
0 : 75 c 50
0 : 77 c 50
0 : 78 c 50
0 : 79 c 50
0 : 80 c 50
0 : 80 c 50
0 : 82 c 50
0 : 83 c 50
0 : 86 c 50
0 : 86 c 50
0 : 87 c 50
0 : 88 c 50
0 : 89 c 50
0 : 90 c 50
0 : 91 c 50
0 : 93 c 50
0 : 94 c 50
0 : 96 c 50
0 : 98 c 50
0 : 98 c 50
0 : 99 c 50
0 : Agent Points Created 0
1 : 0 c 0
1 : 1 c 0
1 : 1 c 0
1 : 3 c 0
1Energy point created by agent 4 containing 185.498 energy units with epID 804 in iteration 1
1 : 4 die
1 : 4 lf 2
1 : 4 a 1.45756
1 : 5 c 0
1 : 5 c 0
1 : 8 c 0
1 : 8 c 0
1 : 15 c 0
1 : 20 c 0
1 : 20 c 0
1 : 20 c 0
1 : 21 c 0
1 : 21 c 0
1 : 22 c 0
1 : 23 c 0
1 : 23 c 0
1 : 27 c 0
1 : 28 c 0
1 : 30 c 0
1 : 35 c 0
1 : 39 c 0
1 : 40 c 0
1 : 41 c 0
1 : 42 c 0
1 : 43 c 0
1 : 46 c 0
1 : 52 c 0
1 : 56 c 0
1 : 57 c 0
1 : 57 c 0
1 : 57 c 0
1 : 58 c 0
1 : 61 c 0
1 : 63 c 0
1 : 66 c 0
1 : 67 c 0
1 : 74 c 0
1 : 75 c 0
1 : 77 c 0
1 : 78 c 0
1 : 79 c 0
1 : 80 c 0
1 : 80 c 0
1 : 82 c 0
1 : 83 c 0
1 : 86 c 0
1 : 86 c 0
1 : 87 c 0
1 : 88 c 0
1 : 89 c 0
1 : 90 c 0
1 : 91 c 0
1 : 91 c 0
1 : 93 c 0
1 : 94 c 0
1 : 96 c 0
1 : 97 c 0
1 : 98 c 0
1 : 98 c 0
1 : 99 c 0
1 : Agent Points Created 0
2 : 43 c 0
2 : 64 c 0
2 : Agent Points Created 0
3Energy point created by agent 39 containing 631.594 energy units with epID 839 in iteration 3
3 : 39 die
3 : 39 lf 4
3 : 39 a 0.728778
3Energy point created by agent 49 containing 712.868 energy units with epID 849 in iteration 3
3 : 49 die
3 : 49 lf 4
3 : 49 a 0.728778
3 : 76 c 0
3 : 93 c 0
3 : 94 c 0
3 : 97 c 0
3 : Agent Points Created 0
4 : 3 c 0
4 : 47 c 0
4 : 50 c 0
4 : 71 c 0
4 : 76 c 0
4 : 81 c 0
4 : Agent Points Created 0
5 : 48 c 0
5 : 55 c 0
5 : Agent Points Created 0
6 : 0 c 0
6 : 9 c 0
6 : 46 c 0
6 : 61 c 0
6 : 84 c 0
6 : 96 c 0
6 : Agent Points Created 0
7 : 76 c 0
7 : Agent Points Created 0
8 : 26 c 0
8 : 61 c 0
8 : 67 c 0
8 : 91 c 0
8 : Agent Points Created 0
9 : 35 c 0
9 : 56 c 0
9 : Agent Points Created 0
10 : 15 c 0
10 : 15 c 0
10 : 29 c 0
10 : 46 c 0
10 : 87 c 0
10 : Agent Points Created 0
11 : 11 c 0
11 : 86 c 0
11 : 93 c 0
11 : Agent Points Created 0
12 : 46 c 0
12 : Agent Points Created 0
13 : 61 c 0
13 : 68 c 0
13 : Agent Points Created 0
14 : 91 c 0
14 : Agent Points Created 0
15 : 21 c 0
15 : Agent Points Created 0
16 : 46 c 0
16 : Agent Points Created 0
17 : 9 c 0
17 : Agent Points Created 0
18 : 76 c 0
18 : Agent Points Created 0
19 : 61 c 0
19 : Agent Points Created 0
20 : 25 c 0
20 : Agent Points Created 0
21 : Agent Points Created 0
22 : 21 c 0
22 : 55 c 0
22 : 95 c 0
22 : Agent Points Created 0
23 : 1 c 0
23 : 62 c 0
23 : Agent Points Created 0
24 : 72 c 0
24 : Agent Points Created 0
25 : Agent Points Created 0
26 : 0 c 0
26 : 1 c 0
26 : 1 c 0
26 : 3 c 0
26 : 5 c 0
26 : 5 c 0
26 : 8 c 0
26 : 8 c 0
26 : 20 c 0
26 : 20 c 0
26 : 20 c 0
26 : 22 c 0
26 : 23 c 0
26 : 23 c 0
26 : 28 c 0
26 : 35 c 0
26 : 38 c 0
26 : 42 c 0
26 : 43 c 0
26 : 52 c 0
26 : 57 c 0
26 : 57 c 0
26 : 58 c 0
26 : 63 c 0
26 : 66 c 0
26 : 67 c 0
26 : 68 c 0
26 : 75 c 0
26 : 77 c 0
26 : 78 c 0
26 : 79 c 0
26 : 80 c 0
26 : 83 c 0
26 : 86 c 0
26 : 86 c 0
26 : 88 c 0
26 : 90 c 0
26 : 91 c 0
26 : 94 c 0
26 : Agent Points Created 0
27 : 46 c 0
27 : 97 c 0
27 : Agent Points Created 0
28 : 97 c 0
28 : Agent Points Created 0
29 : 3 c 0
29 : 81 c 0
29 : 94 c 0
29 : Agent Points Created 0
30 : 64 c 0
30 : Agent Points Created 0
31 : 0 c 0
31 : 18 c 0
31 : 57 c 0
31 : 84 c 0
31 : 96 c 0
31 : Agent Points Created 0
32 : 70 c 0
32 : 71 c 0
