# =-=-=-=-=-=-=-=-=-=-=
# STATISTICAL DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
20,3,593.179,593.179
357,80,764.106,606.106
358,80,756.091,756.091
400 : active 400,30,783.188,783.188
401,41,476.079,476.079
800 : active 1200 : active 1600 : active 2000 : active 2400 : active 2430,66,741.447,741.447
2800 : active 2805,89,645.68,645.68
2900,36,799.492,588.492
2901,36,460.091,460.091
2904,37,485.856,485.856
3165,38,262.571,262.571
3200 : active 3237,13,524.586,524.586
3307,50,798.044,754.044
3391,22,555.397,555.397
3398,94,760.057,760.057
3600 : active 4000 : active 4100,44,791.458,83.4576
4105,93,793.702,622.702
4115,44,693.289,63.2893
4116,44,679.777,63.7769
4117,93,352.867,352.867
4118,44,614.783,216.783
4120,44,446.118,116.118
4400 : active 4569,91,797.962,611.962
4593,91,562.205,562.205
4726,48,800.485,553.485
4727,48,448.253,448.253
4800 : active 5200 : active 5600 : active 6000 : active 6015,50,797.02,793.02
6400 : active 6494,0,736.984,558.984
6693,0,556.09,556.09
6800 : active 
